MDL16CS091 MA101(O), PH100(A), BE110(A), BE10105(O), BE103(B+), EE100(A), PH110(O), EE110(A+), CS110(O) 9.04348
MDL16CS093 MA101(O), PH100(O), BE110(O), BE10105(O), BE103(B+), EE100(A), PH110(O), EE110(O), CS110(O) 9.54348
MDL16CS094 MA101(A), PH100(A), BE110(F), BE10105(A), BE103(C), EE100(C), PH110(O), EE110(O), CS110(O) 6.93478
MDL16CS095 MA101(O), PH100(A+), BE110(A+), BE10105(O), BE103(A), EE100(O), PH110(O), EE110(O), CS110(O) 9.5
MDL16CS098 MA101(B), PH100(P), BE110(F), BE10105(F), BE103(C), EE100(F), PH110(A), EE110(B+), CS110(B) 3.8913
MDL16CS099 MA101(O), PH100(O), BE110(O), BE10105(B+), BE103(B+), EE100(A+), PH110(O), EE110(O), CS110(O) 9.34783
MDL16CS101 MA101(O), PH100(B+), BE110(A+), BE10105(C), BE103(A), EE100(A+), PH110(O), EE110(O), CS110(O) 8.67391
MDL16CS103 MA101(A+), PH100(A), BE110(A+), BE10105(C), BE103(B+), EE100(A+), PH110(O), EE110(A+), CS110(O) 8.47826
MDL16CS104 MA101(A+), PH100(C), BE110(B+), BE10105(F), BE103(B+), EE100(F), PH110(O), EE110(A), CS110(O) 5.93478
MDL16CS105 MA101(A+), PH100(B+), BE110(A+), BE10105(B), BE103(B+), EE100(B+), PH110(A+), EE110(O), CS110(O) 8.3913
MDL16CS107 MA101(O), PH100(A), BE110(A+), BE10105(B), BE103(A), EE100(B+), PH110(O), EE110(O), CS110(O) 8.76087
MDL16CS111 MA101(A+), PH100(B+), BE110(O), BE10105(B+), BE103(A), EE100(B+), PH110(O), EE110(O), CS110(A+) 8.71739
MDL16CS115 MA101(A), PH100(A), BE110(A+), BE10105(B), BE103(B+), EE100(B+), PH110(A+), EE110(A), CS110(O) 8.32609
MDL16CS116 MA101(B), PH100(C), BE110(A+), BE10105(C), BE103(B), EE100(B), PH110(A+), EE110(O), CS110(A+) 7.26087
MDL16CS120 MA101(B+), PH100(F), BE110(B), BE10105(C), BE103(B), EE100(C), PH110(A+), EE110(B+), CS110(A+) 5.91304
MDL16CS121 MA101(F), PH100(F), BE110(A+), BE10105(F), BE103(F), EE100(F), PH110(O), EE110(A), CS110(O) 2.41304
MDL16CS123 MA101(O), PH100(O), BE110(A), BE10105(B+), BE103(A), EE100(O), PH110(O), EE110(O), CS110(O)  9.34783
